department,service_request_type,status,closure_reason,local_area,channel,open_dt,close_dt,open_year,open_month,open_month_name,open_day_of_week,closure_days,is_closed
Dbl - Animal Services,Animal Concern Case,Close,Service Provided,Mount Pleasant,Phone,2022-09-07 16:53:41-07:00,2022-09-08,2022,9,Sep,Wednesday,0.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,Kitsilano,Web,2022-09-07 16:55:20-07:00,2022-09-08,2022,9,Sep,Wednesday,0.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Mount Pleasant,Web,2022-09-07 16:56:52-07:00,2022-09-12,2022,9,Sep,Wednesday,4.0,True
Eng - Traffic And Electrical Operations And Design,Street Light Out Case,Close,Service Provided,Victoria-Fraserview,Web,2022-09-07 17:10:55-07:00,2022-09-16,2022,9,Sep,Wednesday,8.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Reviewed And No Action Planned,Dunbar-Southlands,Web,2022-09-07 17:11:06-07:00,2022-09-12,2022,9,Sep,Wednesday,4.0,True
Eng - Sanitation Services,Missed Green Bin Pickup Case,Close,Service Provided,South Cambie,Phone,2022-09-07 17:12:59-07:00,2022-09-09,2022,9,Sep,Wednesday,1.0,True
Pr - Urban Forestry,City And Park Trees Maintenance Case,Close,Further Action Has Been Planned,Kensington-Cedar Cottage,Phone,2022-09-07 17:14:00-07:00,2022-09-09,2022,9,Sep,Wednesday,1.0,True
Eng - Parking Enforcement And Operations,Meter Out Of Order Internal Audit Case,Close,Closed Automatically And Sent To Service Group,Oakridge,Web,2022-09-07 17:14:00-07:00,2022-09-07,2022,9,Sep,Wednesday,-1.0,True
Eng - Parking Enforcement And Operations,Parking Enforcement Transfer Case,Close,Unknown,,Phone,2022-09-07 17:23:41-07:00,2022-09-07,2022,9,Sep,Wednesday,-1.0,True
Eng - Parking Management,Residential Parking Permit Request Case,Close,Reviewed And No Action Planned,Sunset,Web,2022-09-07 17:31:38-07:00,2022-09-09,2022,9,Sep,Wednesday,1.0,True
Eng - Sanitation Services,Abandoned Non-Recyclables-Small Case,Close,Service Provided,Kitsilano,Mobile App,2022-09-07 17:32:00-07:00,2022-09-12,2022,9,Sep,Wednesday,4.0,True
Eng - Sanitation Services,Missed Garbage Bin Pickup Case,Close,Service Provided,Fairview,Web,2022-09-07 17:35:45-07:00,2022-09-12,2022,9,Sep,Wednesday,4.0,True
Eng - Sanitation Services,Abandoned Recyclables Case,Close,Service Provided,Fairview,Mobile App,2022-09-07 17:40:27-07:00,2022-09-09,2022,9,Sep,Wednesday,1.0,True
Eng - Traffic And Data Management,Traffic And Pedestrian Signal -New Request Case,Close,Service Provided,Riley Park,Phone,2022-09-07 17:58:24-07:00,2022-09-21,2022,9,Sep,Wednesday,13.0,True
